"Interactions","Interaction Type","Effector","Affected","Direction","Phenotype","Citations"
"daf-2 : pie-1daf-2 : pie-1","Suppression","pie-1","daf-2","Effector->Affected","extended life span","Curran,  Wu, Riedel, &  Ruvkun, 2009Curran,  Wu, Riedel, &  Ruvkun, 2009"
"mbk-2 : pie-1mbk-2 : par-1 : pie-1","Negatively Regulates","mbk-2","pie-1","Effector->Affected","","Pellettieri,  Reinke, Kim, &  Seydoux, 2003 Pellettieri,  Reinke, Kim, &  Seydoux, 2003"
"mep-1 : pie-1mep-1 : pie-1","ProteinProtein","mep-1","pie-1","non-directional","","Unhavaithaya et al., 2002 Unhavaithaya et al., 2002"
"oma-1 : pie-1oma-1 : pie-1oma-1 : oma-2 : pie-1","Change of expression level","oma-1","pie-1","Effector->Affected","","Lin, 2003 Shirayama et al., 2006 Guven-Ozkan, Robertson,  Nishi, &  Lin, 2010"
"WBsf979086 : pie-1WBsf979086 : pie-1","ProteinDNA","WBsf979086","pie-1","non-directional","","Vermeirssen et al., 2007Fuxman et al., 2014"
"WBsf979121 : pie-1WBsf979121 : pie-1","ProteinDNA","WBsf979121","pie-1","non-directional","","Reece-Hoyes et al., 2011Martinez et al., 2008"
"Y113G7B.15 : pie-1Y113G7B.15 : pie-1","ProteinProtein","pie-1","Y113G7B.15","non-directional","","Li et al., 2004 Li et al., 2004"
"ama-1 : pie-1","Change of localization","ama-1","pie-1","Effector->Affected","","Ghosh &  Seydoux, 2008"
"ama-1 : pie-1","Predicted","pie-1","ama-1","non-directional","","Zhong & Sternberg, 2006"
"apr-1 : pie-1","Enhancement","pie-1","apr-1","Effector->Affected","endoderm absent","Rocheleau et al., 1997"
"B0035.1 : pie-1","ProteinProtein","pie-1","B0035.1","non-directional","","Reece-Hoyes et al., 2013"
"bar-1 : pie-1","Synthetic","pie-1","bar-1","non-directional","organism development variant","Byrne et al., 2007"
"cdk-7 : pie-1","Regulatory","cdk-7","pie-1","Effector->Affected","","Ghosh &  Seydoux, 2008"
"cdk-7 : pie-1","Change of localization","cdk-7","pie-1","Effector->Affected","","Ghosh &  Seydoux, 2008"
"ceh-27 : pie-1","ProteinProtein","pie-1","ceh-27","non-directional","","Reece-Hoyes et al., 2013"
"cit-1.1 : cit-1.2 : pie-1","Change of localization","cit-1.1","pie-1","Effector->Affected","","Ghosh &  Seydoux, 2008"
"cit-1.1 : cit-1.2 : pie-1","Change of localization","cit-1.2","pie-1","Effector->Affected","","Ghosh &  Seydoux, 2008"
"daf-16 : pie-1","Positively Regulates","daf-16","pie-1","Effector->Affected","","Curran,  Wu, Riedel, &  Ruvkun, 2009"
"eef-1A.1 : pie-1","Change of expression level","pie-1","eef-1A.1","Effector->Affected","","MacNeil et al., 2015"
"end-3 : pie-1","Change of expression level","pie-1","end-3","Effector->Affected","","Maduro et al., 2005"
"F38B6.2 : pie-1","ProteinDNA","pie-1","F38B6.2","non-directional","","Deplancke et al., 2006"
"glp-1 : med-1 : med-2 : pie-1","Synthetic","pie-1","glp-1","non-directional","no pharynx","Maduro, Meneghini,  Bowerman,  Broitman-Maduro, & Rothman, 2001"
"glp-1 : med-1 : med-2 : pie-1","Synthetic","pie-1","med-2","non-directional","no pharynx","Maduro, Meneghini,  Bowerman,  Broitman-Maduro, & Rothman, 2001"
